영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
금왕삼성연합 신규 아이템 소개,2025/11/11,신규 병원,세종충북,금왕삼성연합 (https://app.notion.com/p/3b5fd9fcb8cd81eca281d6c1003dbad2?pvs=21),"관리팀 면담못함, 구매",이재덕,영업완료,,[비고] 환자 많으나 면담 안 됨,,완료
진천 혁신성모병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,진천 혁신성모병원 (https://app.notion.com/p/3b5fd9fcb8cd814f801dc31f7914554c?pvs=21),정형외과 김태규 원무과장,이재덕,영업완료,,"소공포 디테일
[비고] Os원장님께 여쭤보긴 한다고 함",,완료
오창 미즈 신규 아이템 소개,2025/11/11,신규 병원,세종충북,오창 미즈 (https://app.notion.com/p/3b5fd9fcb8cd81b29124d0bb2c7d6019?pvs=21),산부인과 윤경환 사무장,이재덕,영업완료,,"바이옵시 디테일
[비고] 현재 사용하고 있지 않다고함. 지속 방문예정
[다음 방문 예정일] 2025/11/20",,완료
오창호수병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,오창호수병원 (https://app.notion.com/p/3b5fd9fcb8cd817aba85c5616a2e4edd?pvs=21),정형외과 구매과,이재덕,영업완료,,"소공포 디테일
[비고] Os 과장님 수술들어가셔서 소공포 전달해주겠다고 함.",,완료
오창 연세 신규 아이템 소개,2025/11/11,신규 병원,세종충북,오창 연세 (https://app.notion.com/p/3b5fd9fcb8cd81a0a0a5cf7c5a3089ef?pvs=21),정형외과 면담 안됨,이재덕,영업완료,,[비고] 재방문 예정,,완료
오창 중앙병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,오창 중앙병원 (https://app.notion.com/p/3b5fd9fcb8cd817a8f99ec0703276ecd?pvs=21),정형외과 원무과장,이재덕,영업완료,,[비고] 타업체 소공포 있음. 세종것은 아님. M-csi 인가 쓰여있음,,완료
카톨릭병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,카톨릭병원 (https://app.notion.com/p/3b5fd9fcb8cd8193a898f8c0c4feea3e?pvs=21),정형외과 면담 못함,이재덕,영업완료,,[비고] 사무장 휴가중. 재방문 예정.,,완료
하나로연합의원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,하나로연합의원 (https://app.notion.com/p/3b5fd9fcb8cd813286cfc729434d17d1?pvs=21),Fm 김성태원장,이재덕,영업완료,,"소공포디테일
[비고] 올 4월개원. 통증 관련 시술함. 소공포 외 벼원 소모품 디테일 함.",,완료
씨앤씨병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,씨앤씨병원 (https://app.notion.com/p/3b5fd9fcb8cd81569bced422449a1d61?pvs=21),재활 이지용원장,이재덕,영업완료,,[비고] 오랜만에 인사드리러감. 전품목 가능하다고 설명함.,,완료
모태안 납품,2025/11/11,기존 병원,세종충북,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),산부인과 서정한,이은필,영업완료,,,,완료
한국병원 납품,2025/11/11,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),수술실 이재일수술실방장,이은필,영업완료,,,,완료
우리 샘플 제공,2025/11/10,신규 병원,세종충북,서울우리병원 (https://app.notion.com/p/5c5f2fca11ca4aea842cf067fc1b7857?pvs=21),정형외과 사무장,이재덕,영업완료,,"소분포제공
[비고] 안태규사무장 소분포 샘플제공. 대전에선 사용했으나 현재 미사용. 원장님께 물어본다함
[다음 방문 예정일] 2025/11/19",,완료
서울 신규 아이템 소개,2025/11/10,신규 병원,서울경기,서울 중앙메디칼 (https://app.notion.com/p/833a17819ae54322847e1b7030017814?pvs=21),일반외과 원장님,이재덕,영업완료,,"면담 안 됨. 차후 방문예정. 
[비고] 재방문예정
[다음 방문 예정일] 2025/11/19",,완료
보은한양병원 신규 아이템 소개,2025/11/10,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 배서우과장, 구매",이재덕,영업완료,,"봉합키트제공
[비고] 견적서 발송하였으며 차후 연락주기로함. 
[다음 방문 예정일] 2025/11/19
[제공 샘플] 봉합키트",,완료
유엔비외과 납품,2025/11/10,기존 병원,서울경기,유엔비 외과의원 (https://app.notion.com/p/3b2fd9fcb8cd8111940acecbbea315e5?pvs=21),일반외과 차명기 간호사,이은필,영업완료,,"[비고] 원장님 물어보고 회신준다고 함
[제공 샘플] 수술포, 저번주 소공포 샘플",,완료
청담튼튼 납품,2025/11/10,신규 병원,서울경기,청담튼튼 (https://app.notion.com/p/3b5fd9fcb8cd81b98857ccf98f38f7c8?pvs=21),일반외과 수술실,이은필,영업완료,,,,완료
옥천성모병원 샘플 제공,2025/11/10,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 권용 과장, 구매",이재덕,영업완료,,"소공포제공
[비고] 응급키트는 사용중. 소공포샘플 제공
[다음 방문 예정일] 2025/11/21",,완료
옥천삼성외과 신규 아이템 소개,2025/11/10,신규 병원,세종충북,옥천삼성외과 (https://app.notion.com/p/3b5fd9fcb8cd81259020f85dd78480b4?pvs=21),일반외과 면담못함,이재덕,영업완료,,,,완료
옥천 이산부인과 신규 아이템 소개,2025/11/10,신규 병원,세종충북,옥천 이산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81efbbd3e2a724d6455f?pvs=21),산부인과 윤희자 선생님,이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"[비고] 콜라템프 샘플 제공. 바이옵시 원장님께 말한다고 함
[다음 방문 예정일] 2025/11/21
[제공 샘플] 바이옵시",,완료
옥천 서울연합정형외과 샘플 제공,2025/11/10,신규 병원,세종충북,옥천 서울연합정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8195a101d9f271320fe0?pvs=21),정형외과 전두환 사무장,이재덕,영업완료,,"[비고] 소공포 샘플제공 원장님께 말씀드리기로 함
[다음 방문 예정일] 2025/11/19",,완료
새손병원 신규 아이템 소개,2025/11/10,신규 병원,대전논산,새손병원 (https://app.notion.com/p/3b5fd9fcb8cd81da950ef4535a0dba7e?pvs=21),"관리팀 최성욱 사무장, 구매",이재덕,영업완료,,[비고] 하이겐타 설명함. 봉합키트 설명함. 지속방문예정,,완료
대전보훈병원 샘플 제공,2025/11/10,신규 병원,대전논산,대전보훈병원 (https://app.notion.com/p/3b5fd9fcb8cd8118b66dc084c526ed37?pvs=21),"관리팀 지료지원과 이태화사원, 구매",이재덕,영업완료,,"소공포 샘플제공
[비고] 응급봉합킷, 소공포 디테일 설명함. 응급에서 구매요청이오면 좋겠다고 함. 차후 응급실 방문예정.",,완료
정성내과 정보 수집,2025/11/07,신규 병원,세종충북,정성내과 (https://app.notion.com/p/3b5fd9fcb8cd810ba079f51c2317aba0?pvs=21),내과 담당자,이재덕,영업완료,,"수액환자 많은 병원임. 수액키트 및 기타 의료소모품 디테일 설명함
[다음 방문 예정일] 2025/11/07
[제공 샘플] 수액세트",,완료
김광주산부인과 신규 아이템 소개,2025/11/07,신규 병원,세종충북,김광주산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81648445ec77e10a12dc?pvs=21),산부인과 담당자,이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"바이옵시 설명함. 아직 사용하지 않고 있음. 지속방문 예정
[제공 샘플] 바이옵시",,완료
마이크로병원 신규 아이템 소개,2025/11/07,신규 병원,세종충북,마이크로병원 (https://app.notion.com/p/3b5fd9fcb8cd81c6812bf641210ec166?pvs=21),정형외과 구매과,이재덕,영업완료,,"비급여 소공포 디테일 설명함, 과장님께 제품 사용요청 올려본다고 함. 300개/월 사용 예정된다고 하며 간납으로 납품해야 한다고 함. 하이겐트(Hygent)는 원장님 지인이 설명하였다고 함.
[제공 샘플] 수술포",,완료
프라우산부인과 정보 수집,2025/11/07,신규 병원,세종충북,프라우산부인과 (https://app.notion.com/p/3b5fd9fcb8cd819db164ca35b21897b1?pvs=21),산부인과 사무장,이재덕,영업완료,DVT SLEEVE 발타입 허벅지부분 (https://app.notion.com/p/DVT-SLEEVE-3b2fd9fcb8cd8162a0a0f4e67feb838f?pvs=21),"사무장님 면담. dvt 제품 소개. 다음주 화~수요일 사이 원장님 오전수술 없어 재방문 예정.
[다음 방문 예정일] 2025/11/11
[제공 샘플] DVT",,완료
서로손 병원 신규 아이템 소개,2025/11/07,신규 병원,세종충북,서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd810e8a71d530d2c270ec?pvs=21),암환자 케어,이재덕,영업완료,,"소공포 디테일 설명함. 암환자 케어병원임, 병원소모품 설명드림.
[제공 샘플] 수술포",,완료
미래여성산부인과 정보 수집,2025/11/07,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"산부인과 서지택, 원장",이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"원장님, 사무장님 면담. 튤립은 기존에 설명한 업체있으나 사용은 안하고 있음. 바이옵시 제품 설명드리고 원장님 구매지시 있으면 전화하겠다고 함.
[제공 샘플] 바이옵시, 지혈제",,완료
다나여성병원 정보 수집,2025/11/07,신규 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),산부인과 김규동 사무장,이재덕,영업완료,,"김규동 사무장님 면담 예정이었으나, 급한 수술이 들어와 면담은 못함. 다음주에 재 방문하기로 함. 
[다음 방문 예정일] 2025/11/11",,완료
미즈맘산부인과 정보 수집,2025/11/07,기존 병원,서산당진,미즈맘산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd81eda344f77d3111bddb?pvs=21),"산부인과 주명식, 원장",이재덕,영업완료,,주명식 원장님 면담 요청드렸으나 한가할때 오라고 하심. 다음주 재 방문예정,,완료
새빛병원 신규 아이템 소개,2025/11/07,신규 병원,세종충북,새빛병원 (https://app.notion.com/p/3b5fd9fcb8cd81fabc63dd10bfb9deeb?pvs=21),일반외과 사무장님,이재덕,영업완료,"Bipolar, Maryland Dissector (https://app.notion.com/p/Bipolar-Maryland-Dissector-3b2fd9fcb8cd81f68e94dadb365b509e?pvs=21)","vh 바이폴라 브로셔 제공. 사무장님 면담 차후 예정. 
[제공 샘플] 바이폴라",,완료
유엔비외과 신규 아이템 소개,2025/11/06,기존 병원,서울경기,유엔비 외과의원 (https://app.notion.com/p/3b2fd9fcb8cd8111940acecbbea315e5?pvs=21),일반외과 행정실장,이은필,영업완료,,"샘플 및 브로셔 설며에
[다음 방문 예정일] 2025/11/10
[제공 샘플] 수술포",,완료
미래산부인과 정보 수집,2025/11/06,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,"EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21), 복강경&자궁경 기구 (https://app.notion.com/p/fa9770c98f53468189eab63e6e8cccf7?pvs=21)","바이옵시 샘플 제공, 구매예정, 자궁경장비 카탈로그 요청함
[다음 방문 예정일] 2025/11/12
[제공 샘플] 바이옵시",,완료
연세미즈산부인과 정보 수집,2025/11/06,신규 병원,세종충북,연세미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd817dbc31db66405540e8?pvs=21),산부인과 원장,이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"바이옵시외 견적, 구매예정. 
[다음 방문 예정일] 2025/11/12
[제공 샘플] 바이옵시, 지혈제",,완료
한기정산부인과 정보 수집,2025/11/06,신규 병원,세종충북,한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81069e71df553a69b51f?pvs=21),"산부인과 한기정, 원장",이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"원장님 면담 . 바이옵시 설명
[제공 샘플] 바이옵시",,완료
제천명지병원 정보 수집,2025/11/06,신규 병원,세종충북,제천명지병원 (https://app.notion.com/p/3b5fd9fcb8cd811f81d5cccde2960431?pvs=21),"관리팀 총무과, 구매",이재덕,영업완료,,총무과방문 인사 드림,,완료
충주의료원 신규 아이템 소개,2025/11/06,기존 병원,세종충북,충주의료원 (https://app.notion.com/p/30ebb0603a8844aca2912287cf1fca29?pvs=21),"관리팀 원성호, 구매, 재무과장",이재덕,영업완료,,"재무팀 원성호과장 면담, 하이겐트(Hygent), 소공포 샘플제공 과장님들께 여쭤보기로 함. 조만간 점심 같이하기로함. 
[제공 샘플] 수술포",,완료
충주별산부인과 신규 아이템 소개,2025/11/06,신규 병원,세종충북,충주별산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81c8898ad6579fc4d258?pvs=21),"산부인과 정근환, 행정부장",이재덕,영업완료,복강경&자궁경 기구 (https://app.notion.com/p/fa9770c98f53468189eab63e6e8cccf7?pvs=21),"정근환 행정부장 면담, 바이폴라 설명함, 라파핸들 내구성 좋은거 샘플요청, 바이폴라 330-5 샘플 챙겨야함. 
[제공 샘플] 바이옵시",,완료
하나병원 정보 수집,2025/11/04,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 검진센터 차장, 구매",이재덕,영업완료,"Bipolar, Maryland Dissector (https://app.notion.com/p/Bipolar-Maryland-Dissector-3b2fd9fcb8cd81f68e94dadb365b509e?pvs=21)","원장님 사모가 의료기기회사를 운영중이며, 전납을 한다고 함. 바이폴라, 하이겐트(Hygent)제품 소개하여 병원내 구매과 후배한테 의사 타진후 연락주겠다고 함",,완료
프라우산부인과 정보 수집,2025/11/04,신규 병원,세종충북,프라우산부인과 (https://app.notion.com/p/3b5fd9fcb8cd819db164ca35b21897b1?pvs=21),"산부인과 김승택, 원장",이재덕,영업완료,,"김승택원장 피곤하다 하여 다음 방문예정, 사무장 타 업체 미팅으로 금요일 방문 예정.
[다음 방문 예정일] 2025/11/12",,완료
마이크로병원 신규 아이템 소개,2025/11/04,신규 병원,세종충북,마이크로병원 (https://app.notion.com/p/3b5fd9fcb8cd81c6812bf641210ec166?pvs=21),정형외과,이재덕,영업완료,,"구매과 면담, 전납업체 엠버스털? 업체가 납품하고 있다고 함. 병원 내 노바메틱스 의약품 창고도 있슴.
[다음 방문 예정일] 2025/11/12",,완료
미래여성산부인과 정보 수집,2025/11/04,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"산부인과 서지택, 원장",이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"서지택원장 면담. 바이옵시 제품 디테일, 샘플 제공. 오후에 원무과장 없어 금요일 오전에 방문 예정, 제품 상담 후 랜딩 할 수 있을듯 함
[다음 방문 예정일] 2025/11/07
[제공 샘플] 바이옵시",,완료
뿌리병원 신규 아이템 소개,2025/11/04,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),정형외과 구매과,이재덕,영업완료,,"구매과 면담. 하이겐트(Hygent), 수술포 디테일 함. 하이겐트(Hygent) 샘플 있으면 챙겨서 와줬으면 함. 수술포는 매우 긍정적으로 생각하는 듯함. 금요일 샘플지참 후 재 방문 예정.
[다음 방문 예정일] 2025/11/07
[제공 샘플] 하이겐트(Hygent), 수술포",,완료
유항외과 정보 수집,2025/11/04,신규 병원,세종충북,유항외과 (https://app.notion.com/p/3b5fd9fcb8cd81cdbd7ee6d12db7746e?pvs=21),일반외과 원장,이재덕,영업완료,,원장님 면담 안 됨. 차후 방문예정,,완료
다나여성병원 정보 수집,2025/11/04,신규 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),산부인과 김규동사무장,이재덕,영업완료,"EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21), DVT SLEEVE 발타입 허벅지부분 (https://app.notion.com/p/DVT-SLEEVE-3b2fd9fcb8cd8162a0a0f4e67feb838f?pvs=21)","원무과장 부재로 총무부장면담. 바이옵시샘플 제공, dvt 디테일 하였으나, 시섹환자에게 부담이 너무 큰듯하다고 함. 금요일 원무과장 휴가 복귀 후 재 면담 예정. 
[다음 방문 예정일] 2025/11/07
[제공 샘플] DVT",,완료
